s/n,MATCH NAME,odd_1,odd_x,odd_2,link,Results
1,Bayer Leverkusen-Bayern Munich,2.85,3.75,2.3,https://www.flashscore.com/match/zmGWQL8t/#/match-summary,0:2
2,Liverpool-PSG,2.35,4.1,2.7,https://www.flashscore.com/match/UDXkIiQ8/#/match-summary,0:2
3,Laci-Egnatia,2.9,3.35,2.25,https://www.flashscore.com/match/tWgUtAbe/#/match-summary,1:1
4,KF Tirana-Vllaznia,2.45,3.0,2.85,https://www.flashscore.com/match/OjTX0VkR/#/match-summary,0:0
5,Teuta-AF Elbasani,3.15,2.75,2.45,https://www.flashscore.com/match/2yuP2iLE/#/match-summary,0:0
6,Gimnasia L.P.-Dep. Riestra,2.1,2.85,4.25,https://www.flashscore.com/match/K4XEb2og/#/match-summary,1:1
7,Ind. Rivadavia-Union de Santa Fe,2.65,2.75,3.15,https://www.flashscore.com/match/SdcfeTv1/#/match-summary,2:0
8,Talleres Cordoba-Rosario Central,1.95,3.15,4.55,https://www.flashscore.com/match/Ei2E0OGt/#/match-summary,0:0
9,Nueva Chicago-Def. de Belgrano,2.4,2.35,3.6,https://www.flashscore.com/match/IeBKsf85/#/match-summary,0:0
10,Lille-Dortmund,2.6,3.35,2.7,https://www.flashscore.com/match/Oz9o7RH7/#/match-summary,1:2
11,Arsenal-PSV,1.5,4.45,6.8,https://www.flashscore.com/match/21dedA3k/#/match-summary,2:2
12,Aston Villa-Club Brugge KV,1.75,3.9,4.55,https://www.flashscore.com/match/4S7mNw85/#/match-summary,3:0
13,Atl. Madrid-Real Madrid,2.7,3.5,2.55,https://www.flashscore.com/match/CdktT8vR/#/match-summary,1:1
14,Alianza Lima (Per)-Deportes Iquique (Chi),1.55,3.9,5.85,https://www.flashscore.com/match/zDFXhBEb/#/match-summary,1:1
15,Atletico Atlanta-Colegiales,1.87,2.7,4.9,https://www.flashscore.com/match/prDCqGwg/#/match-summary,1:0
16,Platense-Argentino de Quilmes,1.5,3.3,11.75,https://www.flashscore.com/match/Mqx4I6AN/#/match-summary,2:0
17,Ath Bilbao-AS Roma,2.0,3.45,4.0,https://www.flashscore.com/match/lIhZrE8b/#/match-summary,3:1
18,Eintracht Frankfurt-Ajax,1.67,4.4,4.65,https://www.flashscore.com/match/IeFhzpQQ/#/match-summary,4:1
19,Lazio-Plzen,1.52,4.5,6.35,https://www.flashscore.com/match/AgfXS1I0/#/match-summary,1:1
20,Olympiacos Piraeus-Bodo/Glimt,1.57,4.45,5.45,https://www.flashscore.com/match/v7PGQWhU/#/match-summary,2:1
21,Manchester Utd-Real Sociedad,1.95,3.35,4.25,https://www.flashscore.com/match/ARXaUEg5/#/match-summary,4:1
22,Rangers-Fenerbahce,3.0,3.55,2.35,https://www.flashscore.com/match/QsjqYywq/#/match-summary,1:2
23,Tottenham-AZ Alkmaar,1.5,4.75,6.2,https://www.flashscore.com/match/dlaiYdft/#/match-summary,3:1
24,Cercle Brugge KSV-Jagiellonia,1.97,3.8,3.75,https://www.flashscore.com/match/6VCKYNop/#/match-summary,2:0
25,Djurgarden-Pafos,3.0,3.4,2.4,https://www.flashscore.com/match/M594BflJ/#/match-summary,3:0
26,Lugano-Celje,1.72,4.1,4.6,https://www.flashscore.com/match/0dUwQg3C/#/match-summary,5:5
27,Chelsea-FC Copenhagen,1.55,4.35,6.1,https://www.flashscore.com/match/v3H5vgI5/#/match-summary,1:0
28,Fiorentina-Panathinaikos,1.53,4.25,6.65,https://www.flashscore.com/match/vHdvghXb/#/match-summary,3:1
29,Legia-Molde,1.7,4.15,4.75,https://www.flashscore.com/match/8r9MzBHU/#/match-summary,2:0
30,Vitoria Guimaraes-Betis,3.35,3.2,2.3,https://www.flashscore.com/match/nm3dryJt/#/match-summary,0:4
31,Cerro Porteno (Par)-FBC Melgar (Per),1.72,3.4,5.15,https://www.flashscore.com/match/65JFJPAO/#/match-summary,4:2
